Run case 1
HPWL, seed
84026,944
83988,806
85445,685
80464,678
83286,677
80464,678
83899,733
81242,665
80551,663
81716,666
82643,650
82723,719
82830,664
81716,666
81242,665
83301,656
79989,718
84769,658
81981,670
81083,694
82668,690
82910,701
83715,725
83899,733
82408,740
84655,793
84655,793
83398,781
82656,866
82676,854
84776,905
82386,930
82386,930
82440,1001
80611,1008
81881,1131
82377,1117
83822,1109
81855,1124
81976,1227
82411,1321
84067,1422
83344,1615
81465,1875
81832,1892
83926,1902
84048,1878
85205,1925
84048,1878
83134,1933
78894,1879
85205,1925
81852,1871
83274,1883
79935,1896
81812,1932
83557,1905
83046,1912
83649,1919
82125,1958
83896,1904
82847,1923
82956,1916
83531,1917
79935,1896
83526,1888
84354,1891
82914,2342
83746,3742
82108,3979
82926,3904
80324,3966
82873,3899
82266,3976
84624,3960
81744,4102
83345,3901
80681,3920
82329,679
83283,661
84884,676
85971,660
81704,654
82668,690
84024,674
83050,689
80464,678
82643,650
83905,716
80991,680
82644,684
82329,679
80991,680
83899,733
83286,677
84884,676
83317,675
80833,681
82724,741
83317,675
81984,688
84884,676
80991,680
83914,731
80464,678
84884,676
80464,678
82329,679
82408,740
82329,679
84884,676
84884,676
80953,686
81787,724
80991,680
82644,684
84884,676
80833,681
85729,773
84024,674
84433,683
84884,676
82329,679
82859,732
83286,677
83286,677
84433,683
82177,672
83562,721
82329,679
81043,682
82532,673
82532,673
85074,727
84884,676
83050,689
82532,673
83286,677
81518,723
84024,674
83050,689
80833,681
82329,679
84021,652
82644,684
82644,684
84433,683
80833,681
83283,661
80833,681
84923,698
82644,684
81957,691
83317,675
80833,681
82434,695
83317,675
80991,680
84884,676
83748,687
85074,727
82329,679
82329,679
82329,679
84884,676
82841,735
84884,676
82161,697
82329,679
81984,688
82724,741
83286,677
82644,684
83286,677
81083,694
83715,725
84884,676
83050,689
84884,676
82644,684
82456,747
80833,681
82329,679
80833,681
80953,686
83269,739
83317,675
80953,686
80833,681
84401,693
81539,742
80991,680
85445,685
84433,683
82668,690
84497,744
84024,674
80833,681
80464,678
83748,687
83050,689
82644,684
82434,695
83317,675
84433,683
82329,679
83748,687
82048,745
84884,676
80833,681
82329,679
83709,700
82408,740
80464,678
80991,680
83286,677
80991,680
86524,755
80833,681
81984,688
83286,677
80833,681
83914,731
81984,688
82715,704
84935,715
83562,721
81980,729
82708,780
82027,792
80610,835
84890,837
81909,826
82718,907
82301,889
82831,896
81665,888
82052,914
84606,894
81727,872
82052,914
82859,890
81665,888
83111,900
84055,898
81665,888
82665,891
82665,891
81890,893
82382,885
82665,891
82923,884
82413,909
82665,891
82301,889
82301,889
82719,924
81177,886
84055,898
81729,902
83702,892
81890,893
85857,895
83111,900
82665,891
82859,890
81665,888
84748,903
81665,888
82301,889
81890,893
84748,903
81249,882
83111,900
82781,897
84748,903
82382,885
81050,937
81177,886
81181,874
82831,896
81177,886
82859,890
84606,894
83877,913
82241,965
82260,971
82241,965
84237,987
84359,976
83228,952
80540,981
80715,969
80715,969
80715,969
83154,988
80715,969
80035,946
82633,983
80261,962
83413,973
81876,980
81825,1010
84785,1068
84785,1068
84976,1207
80849,1174
82003,1194
81534,1193
80237,1175
85334,1190
82706,1210
83004,1334
85115,1336
85107,1322
81002,1339
80022,1354
82224,1332
84136,1330
85115,1336
82120,1381
84114,1331
83607,1344
83900,1326
83079,1346
84336,1365
82836,1342
81710,1324
83460,1340
82241,1333
83607,1344
81710,1414
82402,1349
86124,1371
82838,1310
82146,1348
84136,1330
84114,1331
83460,1340
82847,1355
81002,1339
83348,1335
81548,1329
81548,1329
83470,1352
83100,1341
82241,1333
83348,1335
83470,1352
82836,1342
81548,1329
82224,1332
80022,1354
81980,1370
81429,1337
83348,1335
85107,1322
83460,1340
81203,1361
83460,1340
82224,1332
81002,1339
81203,1361
82402,1349
81002,1339
81980,1370
81548,1329
81002,1339
84336,1365
83286,1527
81360,1512
84637,1506
83256,1523
85172,1546
82413,1535
80520,1742
81923,1789
82409,1786
82023,1810
80386,1776
82023,1810
83387,1807
84196,2240
82160,3073
84696,3591
83385,714
82668,690
81083,694
83286,677
80991,680
81981,670
82456,747
82212,709
80833,681
82161,697
82329,679
82048,745
85971,660
81704,654
81242,665
83283,661
81867,711
81716,666
83748,687
80464,678
80464,678
83943,730
82549,699
82279,707
83914,731
79999,734
83560,767
84249,771
82177,786
81208,833
82010,832
85825,825
82403,916
81476,928
81010,945
80715,969
85583,1092
82757,1076
82352,1200
83242,1185
80065,1197
81534,1193
82847,1355
83004,1334
83607,1344
82224,1332
82073,1362
85115,1336
80243,1366
83677,1356
84402,1347
83607,1344
79339,1358
82836,1342
82402,1349
82118,1364
83395,1338
83348,1335
83470,1352
82411,1321
80022,1354
81002,1339
83461,1353
82146,1348
80022,1354
82237,1327
82134,1357
83470,1352
82502,1360
81548,1329
83677,1356
80167,1323
84336,1365
85276,1363
84136,1330
81203,1361
81548,1329
81429,1337
79339,1358
82241,1333
83470,1352
81710,1324
84402,1347
83170,1350
85115,1336
83461,1353
83100,1341
82502,1360
84114,1331
84919,1359
83900,1326
82146,1348
82847,1355
84136,1330
83677,1356
79949,1328
83607,1344
81203,1361
85115,1336
83461,1353
85107,1322
83866,1343
83607,1344
83866,1343
84919,1359
83461,1353
82073,1362
84136,1330
82146,1348
81548,1329
83607,1344
84336,1365
82224,1332
83461,1353
84136,1330
83866,1343
84336,1365
81710,1324
83170,1350
85524,1345
79949,1328
82847,1355
81548,1329
83461,1353
82241,1333
86124,1371
82241,1333
82134,1357
85524,1345
82224,1332
82502,1360
83900,1326
83593,1351
83395,1338
83866,1343
83677,1356
83348,1335
82847,1355
82031,1307
85276,1363
83651,1325
79339,1358
81710,1324
82847,1355
84701,1375
84136,1330
80022,1354
82224,1332
83677,1356
80903,1373
81429,1337
83470,1352
81002,1339
81203,1361
84114,1331
82847,1355
82237,1327
83395,1338
81203,1361
83395,1338
82134,1357
84114,1331
83100,1341
82073,1362
83348,1335
83461,1353
85115,1336
83460,1340
82836,1342
82224,1332
83593,1351
79949,1328
83866,1343
83170,1350
82241,1333
82847,1355
81002,1339
81203,1361
80167,1323
84919,1359
82237,1327
82146,1348
86124,1371
85115,1336
82118,1364
81548,1329
83100,1341
83223,1424
82224,1332
83470,1352
83004,1334
83460,1340
82146,1348
84114,1331
83461,1353
83395,1338
82486,1416
82836,1342
81203,1361
83395,1338
83170,1350
83470,1352
81548,1329
82241,1333
85115,1336
82134,1357
82241,1333
83348,1335
83461,1353
79949,1328
82502,1360
85524,1345
82073,1362
82237,1327
81174,1294
82073,1362
84136,1330
83348,1335
82533,1410
83395,1338
82134,1357
81429,1337
80022,1354
82241,1333
83460,1340
80243,1366
82237,1327
81548,1329
84136,1330
82073,1362
85172,1546
83247,1531
82707,1513
82678,1519
84355,1553
85584,1521
83281,1864
83095,1811
85135,2128
82060,2777
85024,2716
84639,2774
83345,2728
81434,2738
82597,2791
83284,2697
84108,2772
84064,2707
83157,2673
84639,2774
83688,2706
82480,2757
83702,2701
82054,2783
82563,2722
82485,2767
81981,670
82161,668
83283,661
81543,717
81716,666
83343,662
84134,657
84769,658
82830,664
83138,671
84021,652
82910,701
83138,671
84134,657
81716,666
84769,658
83709,700
80727,667
83301,656
80464,678
84769,658
84935,715
81867,711
85971,660
81981,670
81704,654
84134,657
82177,672
81716,666
80833,681
81242,665
82816,655
82532,673
84021,652
82715,704
83013,669
84769,658
81716,666
84134,657
84414,703
83138,671
83195,659
80727,667
85971,660
83301,656
83138,671
84580,653
86155,702
83138,671
83283,661
83343,662
85971,660
81865,712
81242,665
81704,654
82177,672
81912,651
81665,696
82161,668
84769,658
82329,679
80727,667
81704,654
81716,666
84769,658
82715,704
82161,668
84580,653
82161,668
82816,655
81396,706
82161,668
83283,661
83013,669
83301,656
84021,652
82161,697
83195,659
81543,717
82715,704
81083,694
83047,746
82724,741
81539,742
82841,735
83047,746
84801,750
83007,737
81985,752
83914,731
82366,762
82841,735
83914,731
84731,798
82805,794
82993,857
82465,843
82676,854
81234,851
82996,850
84788,920
82049,929
83277,925
84262,938
82435,915
82989,917
81578,933
82209,919
82719,924
82403,916
82483,931
83347,921
83387,934
81834,918
82049,929
82055,923
80222,912
82991,936
82483,931
85583,1092
84026,944
82565,940
82209,919
83877,913
81890,893
80540,981
83103,992
81989,1047
82309,1166
80875,1139
81855,1124
81239,1108
81987,1072
80849,1174
84275,1104
82034,1130
81777,1127
85274,1119
82870,1100
81684,1266
81556,1223
81644,1412
82286,1409
82942,1456
84033,1384
82347,1405
81185,1397
84537,1411
83210,1400
82564,1461
81807,1387
81603,1415
82282,1388
84537,1411
86224,1399
84067,1422
84033,1384
81603,1415
80659,1396
85687,1404
84067,1422
82848,1391
84537,1411
80659,1396
83695,1480
83210,1400
83862,1421
82918,1382
83738,1413
83161,1383
82226,1476
81807,1387
83862,1421
84033,1384
81017,1470
83671,1402
86109,1419
83161,1383
82662,1428
82282,1388
84537,1411
82848,1394
80659,1396
82415,1437
81379,1377
82533,1410
83240,1395
84230,1406
81370,1407
84009,1432
83039,1389
81603,1415
83147,1378
82286,1409
82848,1394
85255,1420
80239,1408
83738,1413
82918,1382
84230,1406
83223,1424
82282,1388
83401,1430
82848,1394
84537,1411
81185,1397
81017,1470
81571,1393
85004,1434
84537,1411
83862,1421
83223,1424
86109,1419
83039,1389
84537,1411
82848,1394
81710,1414
84429,1398
84881,1390
81710,1414
84031,1386
81644,1412
82848,1391
82662,1428
83161,1383
84881,1390
86109,1419
84537,1411
82286,1409
84004,1423
81807,1387
83461,1475
84031,1386
82918,1382
80659,1396
81196,1438
84031,1386
83693,1425
84690,1616
82010,1600
83340,1632
81138,1629
81138,1629
82852,1613
82010,1600
81138,1629
81413,1603
82585,1642
81351,1607
82099,1639
81413,1603
81657,1628
81413,1603
82105,1638
82715,1596
83792,1631
81413,1603
83344,1615
83491,1585
84276,1627
83789,1625
84170,1580
85516,1650
83253,1606
82105,1638
83738,1601
83163,1649
83253,1606
82535,1635
82715,1596
83344,1615
83664,1591
80888,1689
82361,1597
82620,1630
82361,1597
82301,1633
83155,1582
84690,1616
81112,1626
83241,1634
83738,1601
83241,1634
83664,1591
83241,1634
84153,1594
83578,1641
81118,1605
81120,1619
81351,1607
82105,1638
82027,1587
82099,1639
83381,1595
83792,1631
82803,1586
82636,1617
83312,1589
81112,1626
81616,1571
79832,1640
82361,1597
81100,1643
81879,1588
85516,1650
83738,1601
81100,1643
82010,1600
84276,1627
81351,1607
84276,1627
82715,1596
83792,1631
82361,1597
83578,1641
81413,1603
79429,1624
81657,1628
82944,1566
83316,1648
82538,1598
82344,1637
81118,1605
83340,1632
84690,1616
81776,1651
83253,1606
81120,1619
81879,1588
83998,1621
82027,1587
83789,1625
81140,1584
81138,1629
82715,1596
82636,1617
83344,1615
82535,1635
84662,1602
84276,1627
80352,1583
84832,1659
81493,1610
83397,1647
81118,1605
82852,1613
82585,1642
82715,1596
84903,1714
85059,1604
81100,1643
84153,1594
84982,1620
84717,1593
84276,1627
83738,1601
81692,1623
81112,1626
81155,1653
83738,1601
83346,1764
82715,1596
81112,1626
83253,1606
81413,1603
84717,1593
81770,1592
83381,1595
82361,1597
82535,1635
81501,1579
82010,1600
82636,1617
81140,1584
83381,1595
85059,1604
84662,1602
82538,1598
83077,1702
82099,1639
82538,1598
83578,1641
85059,1604
82099,1639
84717,1593
82620,1630
83253,1606
82620,1630
83738,1601
82344,1637
82361,1597
81692,1623
81118,1605
81100,1643
83998,1621
83595,1562
81776,1651
85059,1604
83316,1648
81118,1605
82585,1642
82044,1612
82852,1613
84982,1620
82044,1612
82538,1598
82165,1703
84153,1594
82105,1638
83738,1601
82585,1642
84690,1616
84327,1705
83381,1595
83792,1631
82620,1630
83568,1611
84082,1688
83738,1601
81118,1605
83344,1615
82044,1612
84662,1602
82852,1613
82099,1639
82361,1597
82620,1630
81879,1588
81138,1629
82027,1587
84717,1593
83738,1601
84982,1620
81770,1592
84561,1707
82538,1598
82010,1600
82585,1642
83998,1621
83006,1699
83568,1611
83344,1615
81084,1655
84153,1594
81692,1623
81351,1607
81451,1704
83312,1589
83141,1622
85059,1604
82620,1630
83381,1595
83789,1625
84717,1593
83602,1618
82636,1617
81413,1603
81100,1643
84662,1602
82099,1639
82538,1598
82099,1639
83253,1606
83578,1641
81770,1592
83340,1632
84153,1594
81120,1619
81413,1603
79429,1624
83312,1589
83792,1631
84717,1593
82361,1597
83738,1601
83599,1646
81451,1704
81692,1623
83474,1678
83253,1606
81413,1603
81764,1693
82010,1600
83280,1590
84717,1593
82314,1766
82861,1885
83819,1873
82861,1885
82861,1885
83074,2288
84580,2331
84532,2302
82823,2360
84467,2310
81949,2354
80149,2285
81737,2371
82662,2338
83331,2346
82985,2306
82914,2342
82609,2303
80122,2382
82568,2293
81129,2363
83389,2300
82388,2356
80873,2315
81542,2463
82985,2306
83595,2423
82734,2291
84120,2325
83389,2300
82609,2303
83515,2307
82996,2365
82609,2303
81347,2359
83826,2311
83010,2296
83354,2308
85962,2294
83245,2284
81906,2329
82758,2361
84434,2309
82692,2455
83759,2282
81949,2354
83354,2308
82489,2341
83484,2297
87018,2470
83854,2317
82927,2312
82906,2352
83640,2321
80967,2289
81444,2344
84383,2320
82489,2341
83484,2297
82489,2341
83640,2321
83202,2283
82823,2360
83354,2308
83520,2350
81235,2314
82914,2342
85962,2294
83854,2317
84918,2301
82662,2338
83441,2263
85211,2372
80873,2315
82906,2352
84532,2302
81631,2348
81235,2314
81563,2379
82568,2293
84559,2330
84918,2301
82133,2287
84434,2309
80967,2289
